구분,보통휘발유,자동차용경유
2022년06월26일,2131.16,2149.16
2022년06월27일,2133.80,2153.00
2022년06월28일,2137.30,2158.24
2022년06월29일,2141.09,2163.15
2022년06월30일,2144.90,2167.66
2022년07월01일,2128.84,2157.70
2022년07월02일,2124.75,2155.39
2022년07월03일,2123.33,2154.46
2022년07월04일,2120.58,2153.08
2022년07월05일,2117.18,2150.78
2022년07월06일,2113.85,2148.59
2022년07월07일,2108.96,2145.24
2022년07월08일,2102.49,2140.28
2022년07월09일,2097.77,2136.65
2022년07월10일,2095.64,2134.84
2022년07월11일,2090.82,2131.28
2022년07월12일,2082.10,2124.27
2022년07월13일,2073.11,2117.16
2022년07월14일,2061.81,2108.96
2022년07월15일,2049.04,2099.72
2022년07월16일,2038.83,2092.28
2022년07월17일,2034.36,2088.75
2022년07월18일,2026.25,2082.11
2022년07월19일,2013.01,2072.42
2022년07월20일,2002.16,2063.99
2022년07월21일,1989.93,2055.28
2022년07월22일,1977.25,2046.01
2022년07월23일,1964.60,2036.83
2022년07월24일,1959.42,2032.61
2022년07월25일,1948.86,2024.70
2022년07월26일,1936.63,2015.01
2022년07월27일,1926.81,2006.74
2022년07월28일,1916.88,1998.46
2022년07월29일,1907.31,1991.04
2022년07월30일,1900.44,1985.32
2022년07월31일,1897.27,1982.61
2022년08월01일,1889.82,1976.46
2022년08월02일,1881.75,1969.64
2022년08월03일,1874.05,1963.18
2022년08월04일,1866.41,1956.93
2022년08월05일,1859.17,1950.56
2022년08월06일,1852.00,1944.14
2022년08월07일,1848.83,1941.43
2022년08월08일,1842.61,1935.96
2022년08월09일,1834.04,1928.20
2022년08월10일,1825.12,1920.46
2022년08월11일,1815.48,1911.58
2022년08월12일,1805.86,1902.96
2022년08월13일,1797.86,1895.71
2022년08월14일,1794.06,1892.04
2022년08월15일,1789.04,1887.53
2022년08월16일,1781.36,1880.12
2022년08월17일,1771.95,1870.89
2022년08월18일,1764.38,1863.53
2022년08월19일,1757.86,1857.23
2022년08월20일,1753.37,1852.84
2022년08월21일,1751.21,1850.59
2022년08월22일,1746.84,1846.57
2022년08월23일,1742.37,1842.27
2022년08월24일,1739.85,1839.79
2022년08월25일,1738.54,1838.60
2022년08월26일,1737.77,1838.58
2022년08월27일,1738.00,1838.82
2022년08월28일,1738.06,1839.07
